time,sn_day_avg,sn_day_max,sn_day_min,sm_day_avg,sm_day_max,sm_day_min,sx_day_avg,sx_day_max,sx_day_min,dn_day_avg,dn_day_max,dn_day_min,dm_day_avg,dm_day_max,dm_day_min,dx_day_avg,dx_day_max,dx_day_min,ta_day_avg,ta_day_max,ta_day_min,pa_day_avg,pa_day_max,pa_day_min,tp_day_avg,tp_day_max,tp_day_min,ua_day_avg,ua_day_max,ua_day_min,rc_day_avg,rc_day_max,rc_day_min,rd_day_avg,rd_day_max,rd_day_min,ri_day_avg,ri_day_max,ri_day_min,rp_day_avg,rp_day_max,rp_day_min,
2017-01-19 00:00:00+01,0.37,2.20,0.00,1.22,3.90,0.30,2.13,6.30,0.60,186.09,359.00,0.00,162.17,358.00,0.00,180.48,359.00,0.00,-6.27,-4.20,-10.90,1010.73,1011.90,1009.40,-2.76,-0.50,-6.60,68.85,73.90,61.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
2017-01-20 00:00:00+01,0.57,2.70,0.00,1.49,4.10,0.20,2.35,5.80,0.50,191.35,359.00,53.00,241.35,356.00,0.00,242.26,359.00,0.00,-3.25,0.50,-10.20,1007.26,1009.30,1005.40,-0.69,2.10,-6.00,56.93,74.00,41.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
2017-01-21 00:00:00+01,0.57,3.50,0.00,1.44,4.70,0.10,2.23,6.50,0.40,209.13,352.00,39.00,253.30,359.00,5.00,233.96,359.00,0.00,0.76,2.60,-0.80,1005.27,1006.40,1004.50,2.26,3.50,1.00,62.51,75.80,52.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
2017-01-22 00:00:00+01,0.38,2.90,0.00,1.16,3.80,0.10,1.94,5.30,0.40,156.00,359.00,0.00,92.65,359.00,0.00,148.43,359.00,1.00,1.01,3.70,-3.20,1004.62,1006.30,1002.40,2.56,4.70,-0.20,66.46,76.40,56.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
2017-01-23 00:00:00+01,0.28,1.30,0.00,0.73,1.80,0.20,1.25,2.60,0.40,195.17,356.00,2.00,227.61,359.00,0.00,210.39,359.00,0.00,-2.80,3.00,-6.80,998.43,1002.10,996.00,0.03,3.80,-3.30,72.10,80.80,55.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
2017-01-24 00:00:00+01,0.62,2.90,0.00,1.72,4.90,0.20,2.77,7.00,0.60,209.04,316.00,22.00,263.00,341.00,154.00,229.74,359.00,0.00,-4.50,-3.20,-6.30,998.65,1001.10,996.80,-1.53,-0.40,-3.30,69.16,74.20,61.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
2017-01-25 00:00:00+01,0.53,2.50,0.00,1.23,3.30,0.20,1.87,3.90,0.40,189.30,356.00,20.00,236.57,338.00,2.00,245.70,359.00,0.00,-2.04,-0.40,-3.80,1002.42,1004.60,1001.00,0.36,1.70,-1.20,73.05,77.10,69.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
2017-01-26 00:00:00+01,0.37,2.50,0.00,1.14,3.70,0.10,1.96,4.90,0.30,185.48,359.00,0.00,107.43,359.00,0.00,133.13,359.00,2.00,-2.02,-0.10,-6.50,1005.74,1007.50,1004.70,0.60,1.90,-1.80,70.73,77.40,61.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
2017-01-27 00:00:00+01,0.30,1.30,0.00,0.71,1.90,0.10,1.16,3.20,0.30,221.65,359.00,1.00,248.83,359.00,0.00,215.17,359.00,0.00,-4.59,3.30,-10.30,1001.10,1004.90,998.70,-1.27,4.20,-5.70,60.21,73.20,33.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
2017-01-28 00:00:00+01,0.32,1.40,0.00,0.74,1.90,0.10,1.22,3.70,0.30,205.74,359.00,0.00,228.43,359.00,0.00,231.48,359.00,0.00,-5.33,0.60,-9.90,997.31,998.50,996.20,-1.64,2.40,-5.50,60.28,69.70,42.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
2017-01-29 00:00:00+01,0.29,1.30,0.00,0.67,1.90,0.10,1.12,2.60,0.20,203.22,359.00,0.00,224.39,357.00,3.00,228.91,359.00,0.00,-5.25,1.50,-10.60,998.06,999.10,997.30,-1.70,2.90,-5.90,62.15,73.10,43.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
2017-01-30 00:00:00+01,0.31,1.20,0.00,0.76,2.00,0.20,1.23,3.10,0.30,197.43,359.00,0.00,217.35,359.00,0.00,207.43,359.00,0.00,-4.65,3.20,-11.00,995.09,997.80,992.10,-1.40,4.10,-6.30,60.69,73.00,39.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
2017-01-31 00:00:00+01,0.42,2.40,0.00,1.08,3.50,0.10,1.77,5.10,0.40,172.43,359.00,0.00,133.91,359.00,1.00,152.52,359.00,0.00,-2.93,3.20,-9.30,992.21,993.20,991.20,-0.15,4.00,-5.20,60.96,72.90,47.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
2017-02-01 00:00:00+01,0.31,2.10,0.00,0.88,2.60,0.20,1.45,3.90,0.30,167.39,359.00,0.00,129.22,359.00,2.00,147.17,359.00,0.00,-0.26,2.40,-2.90,994.39,995.50,991.90,1.75,3.50,0.00,63.21,70.70,54.40,0.01,0.13,0.00,75.78,930.00,0.00,0.00,1.00,0.00,0.11,1.00,0.00,
2017-02-02 00:00:00+01,0.42,2.50,0.00,1.16,3.60,0.10,1.85,6.20,0.30,224.30,359.00,0.00,244.35,359.00,0.00,188.52,359.00,0.00,1.49,4.90,-0.30,990.03,992.10,987.20,2.83,5.80,1.30,72.70,79.70,59.30,0.02,0.32,0.00,170.30,1540.00,0.00,0.00,0.30,0.00,0.57,4.30,0.00,
2017-02-03 00:00:00+01,0.34,2.30,0.00,1.09,4.00,0.10,1.86,6.60,0.30,172.00,359.00,0.00,129.91,359.00,0.00,157.04,359.00,0.00,2.38,5.30,0.90,984.32,986.90,982.90,3.42,6.20,2.20,77.32,82.40,68.60,1.57,1.86,0.00,6259.04,7430.00,0.00,0.08,4.20,0.00,4.13,4.70,0.00,
2017-02-04 00:00:00+01,0.49,2.50,0.00,1.85,4.10,0.30,3.26,6.50,0.70,143.61,359.00,0.00,67.70,132.00,16.00,130.96,260.00,59.00,1.02,1.50,0.50,981.50,983.60,979.40,2.37,2.80,1.90,82.63,83.60,81.10,0.08,1.86,0.00,328.43,7430.00,0.00,0.00,0.00,0.00,0.21,4.70,0.00,
2017-02-05 00:00:00+01,0.29,2.80,0.00,0.83,4.60,0.10,1.36,6.20,0.20,163.35,359.00,0.00,158.83,359.00,1.00,194.26,359.00,0.00,2.00,3.70,0.60,979.11,981.60,977.70,3.15,4.40,2.10,81.46,83.80,76.80,0.79,1.25,0.00,7606.09,12240.00,0.00,0.05,0.80,0.00,0.70,1.00,0.00,
2017-02-06 00:00:00+01,0.56,2.80,0.00,1.76,4.00,0.10,2.94,6.10,0.30,158.04,359.00,0.00,64.57,354.00,1.00,121.61,354.00,4.00,0.35,2.80,-1.50,987.59,991.90,981.70,1.97,3.70,0.70,77.78,82.40,72.20,0.06,1.25,0.00,541.04,12240.00,0.00,0.00,0.00,0.00,0.04,1.00,0.00,
2017-02-07 00:00:00+01,0.81,3.60,0.00,2.48,6.10,0.40,4.17,10.40,1.00,163.17,359.00,0.00,53.35,348.00,2.00,109.96,246.00,27.00,-3.61,-1.70,-6.10,993.40,995.30,992.00,-0.99,0.60,-3.50,73.71,79.10,66.40,0.03,0.05,0.00,17.96,30.00,0.00,0.00,2.70,0.00,1.81,2.70,0.00,
2017-02-08 00:00:00+01,0.68,3.10,0.00,2.53,5.00,0.50,4.48,8.40,1.40,165.65,359.00,0.00,63.87,120.00,12.00,128.57,262.00,49.00,-6.91,-5.90,-8.10,999.43,1003.90,995.50,-3.84,-2.60,-4.70,65.39,69.40,59.40,0.00,0.05,0.00,1.35,30.00,0.00,0.00,0.00,0.00,0.12,2.70,0.00,
2017-02-09 00:00:00+01,0.59,2.70,0.00,2.31,4.90,0.50,4.10,7.70,1.10,163.48,359.00,0.00,68.30,127.00,14.00,134.83,281.00,51.00,-6.03,-4.40,-7.40,1004.86,1005.50,1004.20,-3.11,-1.50,-4.30,65.69,70.20,61.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
2017-02-10 00:00:00+01,0.64,3.10,0.00,2.51,5.60,0.50,4.53,8.80,1.10,157.13,359.00,0.00,69.96,114.00,26.00,136.65,263.00,53.00,-3.35,-0.10,-5.20,1003.28,1004.20,1002.50,-0.84,1.80,-2.50,57.04,68.20,39.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
2017-02-11 00:00:00+01,0.65,3.40,0.00,2.59,6.30,0.60,4.63,9.30,1.10,157.48,359.00,0.00,67.30,121.00,24.00,133.48,269.00,47.00,-6.15,-2.50,-9.10,1002.81,1003.70,1002.20,-3.04,0.10,-5.30,55.24,65.40,43.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
2017-02-12 00:00:00+01,0.56,2.70,0.00,2.19,5.20,0.30,3.86,7.90,0.90,161.17,359.00,0.00,66.09,111.00,3.00,131.22,245.00,47.00,-6.00,-1.60,-9.30,1006.84,1008.70,1003.80,-2.82,0.80,-5.50,63.32,70.20,51.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
2017-02-13 00:00:00+01,0.52,3.10,0.00,1.76,5.70,0.30,3.09,7.90,0.70,175.61,359.00,0.00,101.13,356.00,0.00,149.74,359.00,0.00,-6.19,-4.90,-7.00,1009.89,1011.00,1008.70,-2.96,-1.20,-4.10,72.39,76.90,67.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
2017-02-14 00:00:00+01,0.56,3.00,0.00,1.51,4.70,0.10,2.41,6.90,0.40,204.65,358.00,0.00,255.87,357.00,0.00,219.91,359.00,0.00,-2.37,5.50,-8.00,1008.03,1009.40,1007.10,-0.15,6.00,-4.70,66.54,79.10,44.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
